Facility Name,Street Address,Hours,Website
Bastrop WIC Clinic,"443 Texas Highway 71
Bastrop, Texas 78602
(30.10646853400044, -97.33211573399967)","Monday 7:30am to 7pm, closed 12 noon to 1pm; Tuesday and Friday closed; Wednesday and Thursday 7:30 am to 4:30 pm, closed 12 noon to 12:30 pm (closed second Wednesday of each month); Second Saturday of each month 8am to 12 noon",
Blackland Neighborhood Center,"2005 Salina St
Austin, Texas 78722
(30.280750365000472, -97.72245940699969)",Monday to Thursday 8am to 6pm; Friday 8am to 12noon,
Clarksville Community Health Center,"1000 Toyath Street
Austin, Texas 78703
(30.28122053000044, -97.76330054699969)","Monday to Friday, 8am - 4:30pm",http://www.austintexas.gov/department/clarksville-community-health-center
Del Valle WIC Clinic,"3518 FM 973
Del Valle, Texas 78617
(30.198796, -97.642069)","Monday 8am to 7pm; closed 12 noon to 12:30pm; First and third Thursday of each month 8am to 4:30 pm, closed 12 noon to 12:30pm",http://www.austintexas.gov/department/del-valle-wic-clinic
East Austin Neighborhood Center,"211 Comal St
Austin, Texas 78702
(30.259718, -97.727464)",Monday toThursday 8am to 6pm; Friday 8am to noon,http://www.austintexas.gov/department/east-austin-neighborhood-center
Vital Records,"7201 Levander Loop, Building C
Austin, Texas
(30.252329, -97.690404)","Monday to Friday, 8am to 4:30pm",https://austintexas.gov/birthcertificates
Dove Springs WIC Center,"6801 South IH-35, Suite I & J
Austin, Texas 78744
(30.187722, -97.770861)","Monday and Tuesday 7:30am to 7:00pm, closed 12 noon to 1:00pm; Wednesday and Thursday 7:30am to 4:30pm, closed 12 noon to 12:30pm; Closed second Wednesday of each month; Friday 7:30am to 12 noon; Second Saturday of each month 8:00am to 12 noon",http://www.austintexas.gov/department/dove-springs-wic-center
East Austin WIC Clinic,"211 Comal St.
Austin, Texas 78702
(30.259745, -97.727356)",Monday to Thursday 8am to 6pm; closed 12noon to 1pm; Friday 8am to 12noon,http://www.austintexas.gov/department/east-austin-wic-clinic
Elgin WIC Clinic,"218 South Main Street
Elgin, Texas 78621
(30.345313, -97.369808)","Tuesdays 8:00am to 5:00pm, closed 12 noon to 12:30pm; Fridays 8:00am to 12:00pm",http://www.austintexas.gov/department/elgin-wic-clinic
Far South WIC Clinic,"405 W. Stassney Lane
Austin, Texas 78745
(30.20701, -97.779239)","Monday and Tuesday 7:30am to 7:00pm, closed 12 noon to 1:00pm; Wednesday and Thursday 7:30am to 4:30pm, closed 12 noon to 12:30pm (Closed second Wednesday of each month); Fridays 7:30am to 12 noon; Second Saturday of each month 8:00am to 12 noon",http://www.austintexas.gov/department/far-south-wic-clinic
